id,dimension,measure,indicator,subset_if_diff,figure  ,title,tool_tip_desc,numerator,num_source,denominator,den_source,include_source,Notes,,
1097,Health and Social Needs,Child Health,Child Abuse or Neglect,,4,Child Abuse or Neglect by Age Group,Child victims of confirmed/founded abuse or neglect by age group.,Number of child victims of confirmed/founded abuse by age group.,IA HHS,Total number of child victims of confirmed/founded abuse.,IA HHS,,,,
1098,Health and Social Needs,Disabilities,Disabilities,,1,Children with a Disability,Children with a disability.,"Number of children with a disability, by age group.",ACS,Total number of children by age group.,ACS,,,,
1099,Health and Social Needs,Disabilities,Disabilities,,2,Children with a Disability Over Time,Children with a disability over time.,"Number of children with a disability, by age group.",ACS,Total number of children by age group.,ACS,,,,
1100,Health and Social Needs,Disabilities,Disabilities,,3,All Children < 18 with a Disability by Race and Ethnicity,Children with a disability by race.,"Number of children with a disability, by race.",ACS,Total number of children by race.,ACS,,,,
1101,Health and Social Needs,Disabilities,Disabilities,,4,Children with a Disability by Hearing and Vision Difficulties,Children with a disability by disability type.,Number of children with a disability by disability type and age group.,ACS,Total number of children by age group.,ACS,,,,
1102,Health and Social Needs,Education,School Enrollment,,1,Children Enrolled in Public School,Children enrolled in public school.,Number of students ages 3-17 enrolled in public school by age group.,ACS,Total number of children ages 3-17 by age group.,ACS,,,,
1103,Health and Social Needs,Education,School Enrollment,,2,Children Enrolled in Public School Over Time,Children enrolled in public school over time.,Number of students ages 3-17 enrolled in public school by age group.,ACS,Total number of children ages 3-17 by age group.,ACS,,,,
1104,Health and Social Needs,Education,School Enrollment,,3,School Enrollment by Type,Children by school enrollment type.,Number of students ages 3-17 enrolled in school by age group and enrollment type.,ACS,Total number of children ages 3-17 by age group.,ACS,,,,
1105,Health and Social Needs,Education,Maternal Education,,1,Maternal Education,Children born by mother's education level.,Number of children born by mother's education level.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1106,Health and Social Needs,Education,Maternal Education,,2,Maternal Education Over Time,Children born by mother's education level.,Number of children born by mother's education level.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1107,Health and Social Needs,Education,Maternal Education,,3,Maternal Education by Type,Children born by mother's education level.,Number of children born by mother's education level.,VS Birth Records,Total number of live births.,VS Birth Records,,,,
1108,Health and Social Needs,Education,Early Literacy Skills,,1,Kindergartners Meeting Early Literacy Requirements,,,,,,,Do not have data yet,,
1109,Health and Social Needs,Education,Early Literacy Skills,,2,Kindergartners Meeting Early Literacy Requirements Over Time,,,,,,,,,
1110,Health and Social Needs,Education,Dropout Rate,,1,Dropout Rate,Students in grades 7-12 classified as dropped out.,Number of students classified as dropped out in the school year.,IA DOEd,Total fall enrollment.,IA DOEd,,,,
1111,Health and Social Needs,Education,Dropout Rate,,2,Dropout Rate Over Time,Students in grades 7-12 classified as dropped out over time.,Number of students classified as dropped out in the school year.,IA DOEd,Total fall enrollment.,IA DOEd,,,,
1112,Health and Social Needs,Education,Dropout Rate,,3,Dropout Rate by Race and Ethnicity,Students in grades 7-12 classified as dropped out by race and ethnicity.,"Number of students classified as dropped out in the school year, by race.",IA DOEd,"Total fall enrollment, by race.",IA DOEd,,,,
